Array Design Name	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Comment[AdditionalFile:CDF]	Yeast_2.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-47
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	The MGED Ontology
Term Source Name	The MGED Ontology	affymetrix_netaffx	cp450	ec	embl	genbank	go	interpro	pkr_hanks	scop	sgd
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://godatabase.org	http://www.ebi.ac.uk/interpro	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/
Term Source Version										
Comment[AdditionalFile:txt]	A-AFFY-47_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[interpro]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[go]	Composite Element Database Entry[genbank]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
1771849_at	YPR020W.S1	IPR006808	1771849_at			GO:0000276	EAK91526	S0006224		
1773587_at	YPR021C.S1	IPR001993	1773587_at			GO:0005313	EAL03403	S0006225		
1778493_at	YPR022C.S1	IPR007087	1778493_at			GO:0005634	EAA56125	S0006226		
1774917_at	YPR023C.S1	IPR008676	1774917_at			GO:0043189	EAK90813	S0006227		
1777772_at	YPR024W.S1	IPR000642	1777772_at	a.2.7.Methicillin resistance protein FemA probable tRNA-binding		GO:0005743	BAA03839.1	S0006228		
1771776_at	YPR025C.S1	IPR006671	1771776_at			GO:0016251	EAK93704	S0006229		
1777053_at	YPR026W.S1	IPR005195	1777053_at			GO:0000324	NP_015351	S0006230		
1779332_at	YPR027C.S1		1779332_at				NP_015352	S0006231		
1780246_at	YPR028W.S1	IPR004345	1780246_at			GO:0016192	NP_984159	S0006232		
1770333_at	YPR029C.S1	IPR002553	1770333_at	a.4.5.Transcription factor MotA, activation domain		GO:0030276	EAK96761	S0006233		
1776173_at	YPR030W.S1		1776173_at			GO:0005634	NP_984161	S0006234		
1769717_at	YPR031W.S1	IPR001965	1769717_at			GO:0005737	EAL04258	S0006235		
1772729_at	YPR032W.S1		1772729_at			GO:0005886	NP_015357	S0006236		
1778702_at	YPR033C.S1	IPR002314	1778702_at			GO:0005739	AAA34695	S0006237		
1777863_at	YPR034W.S1	IPR004000	1777863_at			GO:0016585	NP_983586	S0006238		
1774425_at	YPR035W.S1	IPR008146	1774425_at			GO:0005737	NP_015360	S0006239		
1778504_at	YPR036W.S1	IPR004908	1778504_at	a.4.5.SCF ubiquitin ligase complex WHB domain		GO:0000329	CAD67984	S0006240		
1777549_at	YPR036W-A.S1		1777549_at			GO:0042493	NP_690847	S0028425		
1776241_at	YPR037C.S1	IPR006863	1776241_at			GO:0006467	EAL02054	S0006241		
1776135_at	YPR040W.S1	IPR007303	1776135_at			GO:0005737	EAL03231	S0006244		
1777358_at	YPR041W.S1	IPR003307	1777358_at			GO:0005843	EAL01733	S0006245		
1769541_at	YPR042C.S1	IPR001313	1769541_at			GO:0003729	NP_015367	S0006246		
1771502_at	YPR043W.S1	IPR002674	1771502_at			GO:0005842	EAA56600	S0006247		
1772970_at	YPR045C.S1	IPR005062	1772970_at			GO:0005634	XP_326449	S0006249		
1778098_at	YPR046W.S1		1778098_at			GO:0007059	NP_015371	S0006250		
1773228_at	YPR047W.S1	IPR002319	1773228_at			GO:0005739	EAL00605	S0006251		
1770363_at	YPR048W.S1	IPR003097	1770363_at				EAL00606	S0006252		
1777711_at	YPR049C.S1		1777711_at			GO:0019898	EAL03949	S0006253		
1779536_at	YPR051W.S1	IPR000910	1779536_at				NP_983786			
1775532_at	YPR052C.S1	IPR000910	1775532_at			GO:0003682	NP_983786	S0006256		
1776906_at	YPR054W.S1	IPR000719	1776906_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0004707	AAG43109	S0006258	3.1.3	
1770342_at	YPR055W.S1	IPR007191	1770342_at			GO:0006893	EAK92088	S0006259		
1773404_at	YPR056W.S1	IPR004600	1773404_at			GO:0005675	EAK92011	S0006260		
1779817_at	YPR057W.S1		1779817_at			GO:0030532	NP_983771	S0006261		
1777474_at	YPR058W.S1	IPR001993	1777474_at			GO:0006810	EAK94792	S0006262		
1771962_at	YPR060C.S1	IPR002701	1771962_at			GO:0005737	EAK93911	S0006264		
1775041_at	YPR061C.S1	IPR001623	1775041_at	a.2.3.Chaperone J-domain		GO:0005739	EAK93910	S0006265		
1770721_at	YPR062W.S1	IPR002125	1770721_at			GO:0005737	P78594	S0006266		
1776884_at	YPR063C.S1		1776884_at			GO:0005783	NP_015388	S0006267		
1778271_at	YPR065W.S1	IPR000910	1778271_at			GO:0000228	NP_983765	S0006269		
1773343_at	YPR066W.S1	IPR000127	1773343_at			GO:0005737	XP_392909	S0006270		
1773922_at	YPR067W.S1	IPR000361	1773922_at			GO:0005758	NP_983762	S0006271		
1770964_at	YPR068C.S1	IPR000286	1770964_at			GO:0004407	EAK92631	S0006272		
1770383_at	YPR069C.S1	IPR001045	1770383_at			GO:0005737	EAK95735	S0006273		
1773309_at	YPR070W.S1		1773309_at			GO:0000119	NP_983754	S0006274		
1773043_at	YPR071W.S1		1773043_at			GO:0016021	NP_012235	S0006275		
1775345_at	YPR072W.S1	IPR007282	1775345_at	a.2.7.Seryl-tRNA synthetase (SerRS)		GO:0030015	NP_594789	S0006276		
1772408_at	YPR073C.S1	IPR000106	1772408_at				1D1Q			
1778503_at	YPR074C.S1	IPR005476	1778503_at			GO:0005737	1AY0	S0006278		
1775440_at	YPR075C.S1		1775440_at				NP_983729			
1778008_at	YPR078C.S1		1778008_at			GO:0006259	NP_015403	S0006282		
1775808_at	YPR079W.S1		1775808_at			GO:0007034	NP_595322	S0006283		
1771151_at	YPR081C.S1	IPR004154	1771151_at			GO:0004820	NP_015406	S0006285		
1774703_at	YPR082C.S1	IPR004123	1774703_at			GO:0000398	EAA63419	S0006286		
1776887_at	YPR083W.S1		1776887_at	a.3.1.Two-domain cytochrome c		GO:0007005	NP_983717	S0006287		
1772749_at	YPR084W.S1		1772749_at				NP_015409	S0006288		
1774894_at	YPR085C.S1		1774894_at				NP_983713	S0006289		
1772750_at	YPR086W.S1	IPR000812	1772750_at			GO:0016251	NP_984103	S0006290		
1775642_at	YPR088C.S1	IPR004125	1775642_at			GO:0005786	EAK98918	S0006292		
1775748_at	YPR089W.S1		1775748_at				S70046	S0006293		
1772268_at	YPR091C.S1	IPR001849	1772268_at			GO:0005783	EAK91409	S0006295		
1771319_at	YPR093C.S1	IPR001841	1771319_at			GO:0005634	NP_983051	S0006297		
1774086_at	YPR094W.S1	IPR005345	1774086_at			GO:0005681	EAA52481	S0006298		
1777631_at	YPR095C.S1	IPR000904	1777631_at			GO:0005086	O13817	S0006299		
1775043_at	YPR097W.S1	IPR001683	1775043_at			GO:0005739	EAA63516	S0006301		
1774736_at	YPR098C.S1		1774736_at			GO:0005739	NP_984543	S0006302		
1776574_at	YPR100W.S1	IPR007741	1776574_at			GO:0003735	NP_595697	S0006304		
1774390_at	YPR101W.S1		1774390_at			GO:0005681	NP_984536	S0006305		
1777528_at	YPR102C.S1	IPR002132	1777528_at			GO:0005842	EAK95719	S0006306		
1773311_at	YPR103W.S1	IPR001353	1773311_at			GO:0019774	NP_984534	S0006307		
1773575_at	YPR104C.S1	IPR001766	1773575_at	a.4.5.Forkhead DNA-binding domain		GO:0005634	EAK95723	S0006308		
1777973_at	YPR105C.S1		1777973_at			GO:0006891	NP_015430	S0006309		
1769601_at	YPR106W.S1	IPR000719	1769601_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0004672	NP_984530	S0006310	2.1.9	
1771383_at	YPR107C.S1	IPR000571	1771383_at			GO:0030364	EAK93641	S0006311		
1773785_at	YPR108W.S1	IPR000717	1773785_at			GO:0005838	EAK97425	S0006312		
1774328_at	YPR108W-A.S1		1774328_at				NP_878183	S0028590		
1772473_at	YPR109W.S1		1772473_at				NP_015434	S0006313		
1773288_at	YPR110C.S1	IPR001700	1773288_at			GO:0005666	EAK95883	S0006314		
1771961_at	YPR111W.S1	IPR000961	1771961_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005737	NP_015436	S0006315	1.7.2	
1777153_at	YPR112C.S1	IPR000504	1777153_at			GO:0005730	NP_015437	S0006316		
1777843_at	YPR113W.S1	IPR000462	1777843_at			GO:0005783	EAK93025	S0006317		
1776333_at	YPR114W.S1	IPR010283	1776333_at			GO:0005783	NP_982626	S0006318		
1775376_at	YPR115W.S1	IPR001849	1775376_at	a.1.1.Globins		GO:0005737	NP_982627	S0006319		
1779118_at	YPR116W.S1		1779118_at			GO:0005739	NP_015441	S0006320		
1769671_at	YPR117W.S1		1769671_at				EAA52570	S0006321		
1771816_at	YPR118W.S1	IPR000649	1771816_at			GO:0005634	NP_982639	S0006322		
1776774_at	YPR119W.S1	IPR004367	1776774_at			GO:0005737	NP_011622	S0006323		
1777114_at	YPR120C.S1	IPR004367	1777114_at			GO:0006279	NP_982641	S0006324		
1769716_at	YPR121W.S1	IPR004305	1769716_at			GO:0009228	NP_015446	S0006325		
1772247_at	YPR122W.S1	IPR001431	1772247_at			GO:0016021	EAA59666	S0006326		
1775734_at	YPR124W.S1		1775734_at			GO:0015088	CAB87806	S0006328		
1771141_at	YPR125W.S1		1771141_at			GO:0005739	NP_982573	S0006329		
1780073_at	YPR127W.S1	IPR001395	1780073_at			GO:0005737	XP_331533	S0006331		
1772496_at	YPR128C.S1	IPR001993	1772496_at			GO:0000295	EAK99848	S0006332		
1776562_at	YPR129W.S1		1776562_at			GO:0003723	EAK99843	S0006333		
1778288_at	YPR131C.S1	IPR000182	1778288_at			GO:0005737	EAK99839	S0006335		
1776199_at	YPR132W.S1	IPR006032	1776199_at			GO:0003735	BAA19233.1	S0006336		
1777289_at	YPR133C.S1	IPR008654	1777289_at			GO:0006368	EAK99845	S0006337		
1776601_at	YPR133W-A.S1		1776601_at			GO:0030150	NP_982647	S0006433		
1773286_at	YPR134W.S1		1773286_at			GO:0005739	NP_015460	S0006338		
1771449_at	YPR135W.S1		1771449_at	a.4.5.Plant O-methyltransferase, N-terminal domain		GO:0005634	EAK99930	S0006339		
1778323_at	YPR137W.S1	IPR001680	1778323_at			GO:0000154	EAK96747	S0006341		
1777180_at	YPR138C.S1	IPR010256	1777180_at			GO:0015696	NP_015464	S0006342		
1779128_at	YPR139C.S1		1779128_at			GO:0006623	EAK94543	S0006343		
1771401_at	YPR140W.S1		1771401_at			GO:0008415	EAK95040	S0006344		
1771931_at	YPR141C.S1	IPR001752	1771931_at	a.4.5.ArsR-like transcriptional regulators			NP_593458			
1779324_at	YPR143W.S1		1779324_at			GO:0005634	EAK90725	S0006347		
1774976_at	YPR144C.S1		1774976_at	a.4.5.TnsA endonuclease, C-terminal domain		GO:0030692	EAK94042	S0006348		
1772615_at	YPR145W.S1	IPR001962	1772615_at			GO:0005737	NP_015471	S0006349		
1776474_at	YPR147C.S1		1776474_at			GO:0005737	NP_015473	S0006351		
1777818_at	YPR148C.S1		1777818_at			GO:0005737	NP_985856	S0006352		
1779972_at	YPR149W.S1		1779972_at				EAL04308			
1771645_at	YPR151C.S1		1771645_at			GO:0030163	NP_015477	S0006355		
1775146_at	YPR152C.S1	IPR002713	1775146_at			GO:0005634	NP_985864	S0006356		
1775617_at	YPR153W.S1		1775617_at				EAL01190	S0006357		
1777614_at	YPR154W.S1	IPR001452	1777614_at			GO:0005634	NP_985867	S0006358		
1769874_at	YPR155C.S1		1769874_at			GO:0016071	EAL01188	S0006359		
1773071_at	YPR156C.S1	IPR005828	1773071_at			GO:0005886	NP_015482	S0006360		
1774742_at	YPR157W.S1		1774742_at				NP_985871	S0006361		
1777476_at	YPR158W.S1		1777476_at				NP_011658	S0006362		
1775952_at	YPR159W.S1	IPR005629	1775952_at			GO:0016021	P32486	S0006363		
1777587_at	YPR159C-A.S1		1777587_at					S0028725		
1779850_at	YPR160W.S1	IPR000811	1779850_at	a.2.11.Fe,Mn superoxide dismutase (SOD), N-terminal domain		GO:0005737	NP_015486	S0006364		
1775638_at	YPR161C.S1	IPR000719	1775638_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005634	EAK95905	S0006365	3.1.1	
1771620_at	YPR162C.S1		1771620_at			GO:0003688	EAL01693	S0006366		
1771027_at	YPR163C.S1	IPR000504	1771027_at			GO:0005840	EAK97679	S0006367		
1779971_at	YPR164W.S1		1779971_at			GO:0006281	NP_983129	S0006368		
1771897_at	YPR165W.S1	IPR001806	1771897_at			GO:0005937	NP_983131	S0006369		
1772671_at	YPR166C.S1	IPR001209	1772671_at			GO:0003735	EAL03153	S0006370		
1779892_at	YPR167C.S1	IPR002500	1779892_at			GO:0005737	EAA60812	S0006371		
1779981_at	YPR168W.S1		1779981_at	a.4.5.Biotin repressor-like		GO:0016455	EAK97341	S0006372		
1772195_at	YPR169W.S1		1772195_at			GO:0005730	EAL04537	S0006373		
1774209_at	YPR171W.S1		1774209_at			GO:0005935	NP_984598	S0006375		
1776817_at	YPR172W.S1	IPR000659	1776817_at			GO:0005634	NP_984596	S0006376		
1778299_at	YPR173C.S1	IPR003959	1778299_at			GO:0005783	EAL01944	S0006377		
1770809_at	YPR174C.S1		1770809_at			GO:0005816	NP_013562	S0006378		
1770645_at	YPR175W.S1	IPR007185	1770645_at	a.2.11.Fe,Mn superoxide dismutase (SOD), N-terminal domain		GO:0005657	EAL00438	S0006379		
1773673_at	YPR176C.S1	IPR001330	1773673_at			GO:0004663	EAL00437	S0006380		
1770289_at	YPR178W.S1	IPR001680	1770289_at			GO:0046540	EAA64598	S0006382		
1771015_at	YPR179C.S1		1771015_at			GO:0000118	EAK97483	S0006383		
1773654_at	YPR180W.S1	IPR000594	1773654_at			GO:0005634	EAA56018	S0006384		
1771120_at	YPR181C.S1	IPR007123	1771120_at			GO:0005096	NP_015507	S0006385		
1771272_at	YPR182W.S1	IPR001163	1771272_at			GO:0000398	NP_498708	S0006386		
1774860_at	YPR183W.S1	IPR001173	1774860_at			GO:0005739	EAK82958	S0006387		
1769968_at	YPR184W.S1	IPR010401	1769968_at			GO:0005737	NP_015510	S0006388		
1774033_at	YPR185W.S1		1774033_at			GO:0019898	EAK96817	S0006389		
1774467_at	YPR186C.S1	IPR007087	1774467_at			GO:0003709	EAK91019	S0006390		
1770777_at	YPR187W.S1	IPR006110	1770777_at			GO:0005665	EAK92827	S0006391		
1776132_at	YPR188C.S1	IPR002048	1776132_at			GO:0000142	NP_984580	S0006392		
1780146_at	YPR189W.S1	IPR001440	1780146_at	a.2.7.Methicillin resistance protein FemA probable tRNA-binding		GO:0030371	NP_015515	S0006393		
1773138_at	YPR190C.S1	IPR008806	1773138_at			GO:0005666	EAK96764	S0006394		
1771633_at	YPR191W.S1	IPR007863	1771633_at			GO:0005750	EAK92828	S0006395		
1780248_at	YPR192W.S1	IPR000425	1780248_at			GO:0015250	EAK96766	S0006396		
1770785_at	YPR193C.S1	IPR000182	1770785_at			GO:0004402	EAK91236	S0006397		
1779075_at	YPR194C.S1	IPR004813	1779075_at			GO:0006857	NP_983199	S0006398		
1776410_at	YPR196W.S1	IPR001138	1776410_at				P10508	S0006400		
1777668_at	YPR198W.S1		1777668_at			GO:0008559	NP_013031	S0006402		
1776638_at	YPR199C.S1		1776638_at			GO:0005634	NP_015525	S0006403		
1770538_at	YPR200C.S1		1770538_at			GO:0046685	NP_015526	S0006404		
1774500_at	YPR201W.S1	IPR002657	1774500_at			GO:0015700	EAK96406	S0006405		
1770664_at	SPCC5E4.05c.S1		1770664_at							
1775871_at	SPCC777.13.S1	IPR005378	1775871_at							
1774187_at	SPAC15A10.05c.S1	IPR004443	1774187_at							
1772102_at	SPBC21D10.12.S1	IPR001452	1772102_at							
1779184_at	SPAPB1A10.04c.S1	IPR002088	1779184_at							
1779821_at	SPAC694.06c.S1		1779821_at							
1775938_at	SPBC1683.09c.S1	IPR002916	1775938_at							
1770060_at	SPAC17A2.01.S1		1770060_at							
1770678_at	SPAC2E1P3.01.S1	IPR002085	1770678_at							
1780143_at	SPCC14G10.01.S1	IPR001977	1780143_at							
1777202_at	SPAC11D3.10.S1	IPR000192	1777202_at							
1774302_at	SPAC1782.09c.S1	IPR000340	1774302_at							
1771478_at	SPBC1E8.05.S1		1771478_at							
1772673_at	SPBC14F5.10c.S1	IPR003111	1772673_at							
1769917_at	SPBC4F6.10.S1	IPR003123	1769917_at							
1778572_at	SPAC1093.06c.S1		1778572_at							
1773323_at	SPAC1687.12c.S1	IPR007715	1773323_at							
1776462_at	SPAC139.02c.S1	IPR001993	1776462_at							
1778083_at	SPAC25H1.08c.S1	IPR001680	1778083_at							
1773794_at	SPCC757.13.S1		1773794_at							
1773068_at	SPAC16E8.15.S1	IPR001040	1773068_at							
1773334_at	SPBP35G2.04c.S1		1773334_at							
1774210_at	SPAC3F10.15c.S1	IPR007727	1774210_at							
1778900_at	SPBC1289.07c.S1	IPR001700	1778900_at							
1776486_at	SPBC8D2.02c.S1	IPR007919	1776486_at							
1776169_at	SPAC30D11.14c.S1		1776169_at							
1770454_at	SPAC2F3.04c.S1	IPR000424	1770454_at							
1773746_at	SPBC1703.15c.S1	IPR001619	1773746_at							
1776971_at	SPAC57A10.02.S1	IPR000719	1776971_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				2.2.11	
1776696_at	SPBC3B9.02c.S1		1776696_at							
1775961_at	SPAC1635.01.S1	IPR001925	1775961_at							
1774183_at	SPACUNK4.11c.S1		1774183_at							
1773033_at	SPAC144.11.S1	IPR000266	1773033_at							
1769790_at	SPCC290.04.S1	IPR000679	1769790_at							
1769873_s_at	SPAC167.08.S1	IPR001584	1769873_s_at							
1772685_at	SPBC646.16.S1	IPR001353	1772685_at							
1772221_at	SPCPB16A4.06c.S1		1772221_at							
1773246_at	SPCC16C4.18c.S1	IPR004823	1773246_at	a.4.1.Homeodomain						
1778635_at	SPBC21.07c.S1	IPR000719	1778635_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				1.1.10	
1777132_at	SPAC21E11.05c.S1	IPR002130	1777132_at							
1779011_at	SPCC24B10.19c.S1		1779011_at							
1780195_at	SPAC1F7.10.S1	IPR001920	1780195_at							
1773592_at	SPBC4F6.16c.S1	IPR007266	1773592_at							
1773466_at	SPBC2F12.04.S1	IPR001063	1773466_at							
1777488_at	SPBC17D1.02.S1	IPR002728	1777488_at							
1774904_at	SPAC57A7.08.S1	IPR004843	1774904_at							
1776747_at	SPAPB17E12.10c.S1	IPR002877	1776747_at							
1774528_at	SPAC17H9.13c.S1	IPR002478	1774528_at	a.4.5.Biotin repressor-like						
1779456_at	SPBPB21E7.10.S1		1779456_at							
1778602_at	SPAC3C7.05c.S1	IPR005198	1778602_at							
1769465_at	SPAC1002.07c.S1	IPR000182	1769465_at							
1777865_at	SPAC1B1.01.S1	IPR007087	1777865_at							
1774182_at	SPCC285.06c.S1		1774182_at							
1769309_at	SPBC1105.11c.S1		1769309_at							
1772553_at	SPAC29B12.04.S1	IPR001852	1772553_at							
1771207_at	SPAC23H3.05c.S1	IPR001680	1771207_at							
1775223_at	SPCC1393.05.S1		1775223_at							
1772494_at	SPCC794.12c.S1	IPR001891	1772494_at							
1772937_at	SPCC1259.04.S1		1772937_at							
1775597_at	SPBC776.03.S1	IPR005106	1775597_at							
1773851_at	SPBC17D11.01.S1	IPR003653	1773851_at							
1771572_at	SPAC589.12.S1		1771572_at	a.4.1.AraC type transcriptional activator						
1769415_at	SPBC146.02.S1		1769415_at							
1769517_at	SPAC9E9.07c.S1	IPR001806	1769517_at							
1770804_at	SPBC685.08.S1		1770804_at							
1769744_at	SPAC9G1.06c.S1	IPR001452	1769744_at							
1773849_at	SPAPB2B4.04c.S1	IPR006068	1773849_at	a.2.7.Phenylalanyl-tRNA synthetase (PheRS)	(P50993) Sodium/potassium-transporting ATPase alpha-2 chain precursor (EC 3.6.3.9) (Sodium pump 2) (Na+/K+ ATPase 2)					
1771254_at	SPBC1921.01c.S1	IPR001780	1771254_at							
1774185_at	SPCC1739.08c.S1	IPR002198	1774185_at							
1771471_at	SPCC965.03.S1	IPR002699	1771471_at							
1778007_at	SPAC26F1.12c.S1	IPR007205	1778007_at							
1774048_at	SPBP22H7.08.S1	IPR005326	1774048_at							
1769996_at	SPBC776.11.S1	IPR001196	1769996_at							
1776383_at	SPAC27E2.10c.S1	IPR003959	1776383_at							
1769545_at	SPBC16D10.06.S1	IPR003689	1769545_at							
1771882_at	SPBC1683.10c.S1	IPR008217	1771882_at							
1775214_at	SPBC215.02.S1	IPR004127	1775214_at							
1777090_at	SPBC30D10.08.S1	IPR009446	1777090_at							
1770633_at	SPBC17D1.07c.S1	IPR001715	1770633_at							
1769965_at	SPAC17C9.15c.S1		1769965_at							
1779798_at	SPBC1778.09.S1	IPR000195	1779798_at							
1769425_at	SPAC19E9.02.S1	IPR000719	1769425_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				2.1.8	
1774635_at	SPCC1682.05c.S1		1774635_at							
1778421_at	SPAC31A2.07c.S1	IPR001410	1778421_at	a.4.5.C-terminal fragment of elongation factor SelB						
1772038_at	SPAC823.04.S1	IPR009292	1772038_at							
1769458_at	SPBC27.02c.S1		1769458_at							
1777934_at	SPBC776.15c.S1	IPR000089	1777934_at							
1770195_at	SPBC23E6.03c.S1	IPR003010	1770195_at							
1777622_at	SPAC4G8.05.S1	IPR000719	1777622_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				1.8.7	
1777144_at	SPAC23H4.13c.S1		1777144_at							
1780173_at	SPAC31A2.02.S1	IPR005651	1780173_at							
1773402_at	SPAC26H5.12.S1	IPR002092	1773402_at							
1780132_at	SPBC18E5.13.S1		1780132_at							
1777719_at	SPBC21B10.03c.S1	IPR009604	1777719_at							
1771352_at	SPAC2F7.08c.S1	IPR006939	1771352_at							
1772318_at	SPAC18B11.08c.S1		1772318_at							
1776505_at	SPAC222.11.S1	IPR001260	1776505_at							
1772140_at	SPAC227.11c.S1		1772140_at							
1778013_at	SPAC2F3.13c.S1	IPR002616	1778013_at							
1774654_at	SPBC13A2.03.S1	IPR000374	1774654_at							
1776740_at	SPAC57A10.08c.S1		1776740_at							
1777666_at	SPBC115.03.S1	IPR004104	1777666_at							
1779828_at	SPAC1D4.11c.S1	IPR000719	1779828_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				3.1.4	
1772309_at	SPBC2G2.08.S1	IPR000672	1772309_at							
1779043_at	SPAC13A11.06.S1	IPR000399	1779043_at							
1771242_at	SPAC2H10.01.S1	IPR001138	1771242_at							
1778964_at	SPAC3A12.15.S1	IPR007234	1778964_at							
1774753_at	SPBC3E7.05c.S1		1774753_at	a.2.7.Seryl-tRNA synthetase (SerRS)						
1771667_at	SPAC823.03.S1	IPR000719	1771667_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				3.1.4	
1775385_at	SPCC16C4.17.S1		1775385_at							
1772213_at	SPAC110.02.S1		1772213_at							
1774920_at	SPBC1198.07c.S1	IPR005198	1774920_at							
1778136_at	SPCC4B3.15.S1	IPR001849	1778136_at	a.4.1.DNA-binding domain of rap1						
1772082_at	SPBC29A3.03c.S1		1772082_at							
1773005_at	SPAC17C9.01c.S1	IPR001440	1773005_at							
1770881_at	SPBC800.05c.S1	IPR008280	1770881_at							
1778429_at	SPBC21C3.11.S1	IPR001012	1778429_at							
1771891_at	SPBC27B12.03c.S1	IPR006088	1771891_at							
1772862_s_at	SPAC750.04c.S1		1772862_s_at							
1776962_at	SPBC660.10.S1	IPR000640	1776962_at							
1773326_at	SPAC1B3.13.S1	IPR001680	1773326_at							
1776292_at	SPAC31G5.16c.S1	IPR001173	1776292_at							
1769404_at	SPCC622.02.S1		1769404_at							
1778667_at	SPBC1347.13c.S1	IPR001537	1778667_at							
1770959_at	SPAC12G12.01c.S1		1770959_at							
1771607_at	SPAC17H9.03c.S1		1771607_at							
1779930_at	SPAC1F12.07.S1	IPR000192	1779930_at							
1776131_at	SPBC29A3.10c.S1		1776131_at							
1778068_at	SPBC56F2.06.S1		1778068_at							
1769389_at	SPBC17A3.05c.S1	IPR001623	1769389_at	a.2.3.Chaperone J-domain						
1772153_at	SPAC23C4.19.S1	IPR005100	1772153_at							
1777167_at	SPBC1718.07c.S1	IPR000571	1777167_at							
1770097_at	SPCC1020.05.S1	IPR004843	1770097_at							
1779392_at	SPAC227.01c.S1	IPR004342	1779392_at							
1778466_at	SPAP8A3.09c.S1	IPR000357	1778466_at							
1775059_at	SPAC1783.08c.S1	IPR000439	1775059_at							
1776202_at	SPCC1393.10.S1	IPR007274	1776202_at							
1774291_at	SPBC354.15.S1		1774291_at							
1774189_at	SPCC24B10.09.S1	IPR001210	1774189_at							
1771082_at	SPAC27F1.07.S1	IPR007676	1771082_at							
1779252_at	SPBC1677.03c.S1	IPR001926	1779252_at							
1775772_at	SPAC323.07c.S1	IPR002528	1775772_at							
1769581_at	SPBC1604.15.S1	IPR007245	1769581_at							
1775716_at	SPAC11G7.05c.S1	IPR001227	1775716_at							
1779419_at	SPBC17A3.01c.S1	IPR004274	1779419_at							
1774823_s_at	SPAC212.09c.S1	IPR001891	1774823_s_at							
1772152_at	SPAC17A5.18c.S1		1772152_at							
1778009_at	SPCC1795.08c.S1		1778009_at							
1777837_at	SPAC3F10.16c.S1	IPR002917	1777837_at							
1772173_at	SPAC926.06c.S1	IPR001611	1772173_at							
1769861_at	SPCC24B10.08c.S1	IPR007526	1769861_at							
1772462_at	SPCC622.14.S1	IPR001164	1772462_at							
1770588_at	SPCC613.12c.S1	IPR001680	1770588_at							
1770722_at	SPAC959.04c.S1	IPR002685	1770722_at							
1772927_at	SPCC11E10.07c.S1	IPR000649	1772927_at							
1780175_at	SPCC4B3.18.S1	IPR007085	1780175_at							
1773543_at	SPAC24C9.15c.S1	IPR000038	1773543_at							
1773095_at	SPAC8F11.04.S1		1773095_at							
1775826_s_at	SPBC1348.09.S1	IPR002198	1775826_s_at							
