!Gene Symbol	EGF_Baseline	EGF_Stimulus
QC	0.41	0.46
CG14417	-0.65	0.45
mri	0.84	-1.01
CG10948	-1.43	-0.78
tko	-1.90	-0.20
CG1092	0.42	0.62
verm	-1.64	0.57
Tsp42Ee	-1.39	0.23
beta3GalTII	-1.10	-0.67
rpr	1.82	-2.54
Jupiter	1.16	0.95
CG18731	1.93	0.15
Cdc23	2.18	-1.17
CG1673	0.92	-0.42
CG9657	0.54	0.20
CG30075	1.26	0.51
CG30090	-2.76	1.64
CG8908	0.37	0.64
Uro	-1.98	0.92
CG9153	-0.94	0.39
Stim	0.76	0.95
Cyp301a1	2.09	0.43
CG30034	1.21	0.30
CG31406	1.31	1.15
CG16940	0.93	-0.27
CG14502	1.38	0.19
CG14017	-2.01	0.63
CG10874	-1.44	-0.22
ms(2)35Ci	-0.58	-1.62
CG42531	-1.73	0.64
RpS13	4.49	-4.77
CG8031	0.21	2.51
CG12239	0.57	-1.33
Dhc62B	1.51	0.33
CG1239	-0.66	0.78
CG5521	-0.65	-3.58
CG7298	0.09	0.44
CG14805	1.33	0.71
obst-E	0.40	0.16
RpL27A	4.26	-4.66
CG13405	-0.68	-0.89
Aats-lys	1.97	1.07
CG34376	0.40	1.04
CG7194	0.30	0.54
Cpr65Aw	0.59	-0.98
galectin	0.14	1.15
Rad17	-0.71	0.49
GluRIIC	-0.83	0.77
blot	-0.30	-1.44
CG17261	-0.95	-0.33
CG4707	1.26	0.52
CG17180	1.20	-0.52
CG12609	-1.62	0.60
Chmp1	0.42	-0.41
Hexo1	-0.39	0.56
CG18011	-1.20	-0.35
Zif	1.10	-1.86
Ank	-0.31	-0.65
Klp10A	-1.57	-0.11
CG11041	0.98	1.21
CG34029	-1.09	-0.71
CG18636	1.18	1.37
CG14275	1.45	-0.83
CG12605	-1.19	-0.26
CG42402	-0.58	0.38
Rrp47	1.25	-0.70
CG11400	-0.89	-0.22
CG3618	0.48	0.85
CG17840	2.02	-0.17
Mipp1	-1.18	0.22
CG12448	0.99	0.63
b6	-0.69	-0.90
ssp3	-2.13	0.86
CG4017	0.76	1.16
CG8870	-0.54	-0.22
CG32036	1.74	-0.39
CG3344	0.59	1.51
alphaTub85E	1.90	-2.81
CG33303	-0.97	-0.78
CG15345	1.22	0.89
FANCI	-1.02	0.38
CG17278	0.34	-2.61
CG13865	1.74	1.31
dbr	-1.39	1.27
Nep5	-0.67	0.22
CheB93b	1.00	1.42
Sgs8	-0.53	0.41
Sos	-3.36	-4.07
CG33109	-1.56	0.47
Obp83b	0.67	1.03
Or92a	-1.60	0.20
Cec-Psi1	-1.74	-1.47
cl	0.08	0.80
CG12589	-1.06	-1.04
CG2790	0.97	1.49
CG15153	-0.47	-0.30
CG13227	-2.65	-1.77
Spn43Ad	-1.05	0.81
CG7896	-0.91	0.47
CG32074	-1.25	-1.63
Or45b	0.47	0.16
Gem3	-1.66	0.48
CG31821	0.26	-0.44
CG42327	-0.38	-2.11
CG9313	-0.91	-1.48
D12	-0.92	-0.57
CG3581	-0.30	1.02
Prp19	0.48	1.32
Side	-1.19	0.17
app	-0.65	0.21
CG6347	-1.04	-0.08
CG7102	-1.12	0.92
CG7382	0.84	-0.38
CG14434	-0.60	0.33
GstE12	0.88	-0.60
mRpS23	1.10	-1.26
loh	-1.23	0.65
spel1	-1.65	-0.59
Ctf4	0.41	0.63
Sk1	1.52	-0.27
Npc1a	-0.19	0.91
CG14299	-0.92	0.77
epsilonCOP	1.44	0.40
l(2)05714	-0.98	0.93
Gapdh1	-1.48	-1.18
C901	0.47	-0.54
Bet3	-0.08	0.36
CycH	-0.52	-0.75
polo	1.12	-2.06
CG11060	0.44	0.62
Atpalpha	1.33	-0.76
fend	-1.57	0.34
Fer3	-0.49	0.60
sr	1.48	0.33
Prosbeta2R2	-1.77	1.31
CR32111	-1.40	-0.38
Dif	0.98	-1.00
CG7276	-0.86	-0.78
CG14864	-0.56	0.28
CG9801	-0.95	0.65
Ddr	1.32	1.72
Ald	0.49	-2.35
CG10405	0.71	1.13
CG34124	0.49	0.92
Spn42Db	-1.79	-0.54
Rad51D	-0.24	0.44
CR32511	-0.75	2.04
mdlc	-1.19	1.51
CG3746	-0.96	0.23
VhaPPA1-1	-0.89	-0.87
Aats-gly	-0.73	-0.27
Cyp310a1	-1.57	0.86
Gr47b	1.08	0.39
CG32732	0.71	1.35
fdl	1.67	0.68
s-cup	1.27	0.39
JTBR	0.54	0.23
RhoGDI	-0.99	0.57
Muc18B	1.41	0.66
CG16790	0.51	0.86
Grip	0.62	0.56
CG32847	1.25	0.59
CG9593	1.06	0.54
CG1764	0.91	1.89
CG33468	0.67	0.67
beat-Va	0.18	0.92
CG10189	0.70	-0.68
CG14692	-0.84	0.26
CG9416	-1.58	1.38
CG8449	0.49	0.83
CG16957	-1.57	0.58
Cyp6a14	1.86	-0.38
CG11319	-0.93	-1.52
CG4741	1.06	0.90
CG18536	-1.24	0.89
clt	1.19	-0.39
CG34200	-0.57	1.88
CG12576	-0.64	-1.58
nAChRbeta1	1.15	0.86
CG10170	-1.45	-0.73
CG30381	0.81	0.92
Drsl4	-0.42	-0.70
EndoB	-0.97	0.59
CG17765	-0.58	0.69
CG32199	0.15	-0.87
CG3198	0.45	-0.77
CG31560	-1.82	0.65
cal1	-0.64	0.36
Pglym78	-0.19	-0.31
Sdr	-0.92	0.81
Pof	-0.23	-0.45
Lsp1gamma	0.49	0.64
stum	-4.48	-1.39
CG1572	-1.31	-1.22
CG8786	-0.63	-0.95
CG11077	0.73	-0.30
CG14983	-1.04	1.45
NUCB1	-1.06	-0.71
betaTub97EF	1.33	-1.30
Gp93	1.25	-0.99
CG31958	-1.47	1.13
CG11865	-1.45	-0.84
CG34428	0.85	0.21
CG18748	-1.19	1.20
CG12640	-1.15	-0.29
wit	-0.85	0.32
rdgBbeta	-1.56	-0.09
sfl	-1.15	-0.82
CG33156	-1.59	1.14
CG34057	-1.90	0.49
IntS14	0.51	-0.24
CG30338	0.91	-0.46
CG9722	-1.40	0.71
CG4709	-1.56	1.31
Fas3	1.16	1.02
Srp19	-0.49	0.40
CG13287	1.06	2.19
CG15735	-0.72	-0.61
sle	1.37	-0.69
LysP	-1.03	0.91
Nlg1	-2.11	1.21
mus101	-0.42	-0.42
CG13577	0.04	0.63
CG1738	-0.59	0.23
CR33218	-1.75	-0.74
Rtf1	0.61	0.04
scb	1.82	1.52
CG16820	-1.13	0.80
gsb-n	-2.15	0.98
twe	-0.52	0.92
Fer3HCH	-0.42	-0.09
CG17612	-0.88	0.33
CG9328	-0.50	-0.80
Sytalpha	-1.18	-0.49
CG9701	-1.19	0.75
CG31870	-0.52	-1.16
CG31961	-0.75	-0.70
CG6409	-1.97	0.96
CG14613	-0.94	0.25
CG10092	0.68	-0.95
lambdaTry	-1.47	0.20
NC2alpha	-0.95	0.08
CG1896	-1.26	0.27
CG6967	-0.22	1.51
CG34210	-1.39	0.64
CG11655	-0.46	-0.95
CG31321	1.33	0.57
CG15111	-1.53	-1.39
Cyp313a1	-1.08	0.34
CG17127	-1.24	0.63
CG30419	2.67	1.56
Gnmt	0.59	0.98
CG10674	0.62	-0.11
lid	0.79	0.83
CG7692	-0.69	0.67
CG30015	1.07	1.30
CG33096	0.81	-1.38
LRP1	-0.89	0.60
sinah	-2.03	-1.08
HBS1	0.44	1.25
Ptpa	1.58	1.07
CG42542	1.18	-0.91
CG9095	-1.66	0.44
CG12920	-1.72	0.38
neur	-1.02	-0.50
dgt4	0.42	-0.43
CG3940	0.60	-0.17
CG17669	0.19	0.37
CG2574	-1.29	0.74
CG15471	0.89	-1.37
CG42700	0.89	0.58
CG5687	0.51	-0.40
CG32246	-0.42	-0.42
Tengl4	0.80	1.43
GstE3	0.97	-0.84
CG9104	-0.65	-0.36
CG14961	-1.00	0.72
CG15198	-0.75	-0.37
Tsp	0.40	-1.09
CG1113	-2.25	-0.14
CG32755	0.45	0.76
gro	-1.32	-0.48
CG8157	-1.19	-1.51
Sulf1	0.64	-0.26
CG32544	-0.99	-0.70
Lapsyn	-0.50	0.40
CG42673	-1.30	-0.78
yellow-g2	-1.09	0.54
CG32444	-1.02	1.45
Lip1	0.25	0.60
Rca1	1.66	-2.60
Ssl	0.74	0.42
TotZ	0.67	1.37
mt:ATPase8	-1.29	0.85
CG1889	0.61	-0.73
CG4982	1.42	0.73
CG5548	0.81	-0.51
e(y)2	-0.54	0.57
Klp98A	-3.12	-2.68
MBD-R2	-4.45	-4.51
CG9628	-1.19	1.03
CG32554	-0.51	0.78
Ir94a	-0.49	-0.42
CG6324	0.69	-0.21
CG15221	-1.12	-0.29
CG18745	1.46	-0.56
aub	1.29	0.65
CG15126	0.25	0.83
CR34024	-0.37	-0.55
cbc	1.01	0.94
Dab	-0.95	-1.29
CG4538	-0.99	-1.09
Gr68a	-1.37	1.24
Gr36b	1.89	1.99
stl	0.48	-0.43
CG12194	-0.57	-0.94
CG2201	0.77	0.92
ppk	-1.56	-1.82
CG17177	-1.83	-1.21
melt	0.29	0.39
Octbeta1R	1.28	1.33
CG13747	-0.65	-1.40
gry	1.77	1.23
l(3)L1231	-0.94	-0.92
CG7466	0.50	-0.19
yellow-e	-0.50	-0.45
Cpr62Bc	-0.35	-0.22
plx	-1.66	0.73
TotX	0.29	0.54
CG15043	0.51	-0.33
CG32335	-0.45	-1.45
CG32533	1.89	-0.98
CG42471	0.89	0.86
CG6308	-0.93	-0.88
CG13658	-0.17	0.62
CG3776	2.36	1.31
Mtr3	1.28	-2.36
bol	1.74	0.67
CG8850	-2.07	-0.57
RIOK2	1.92	0.58
to	-0.73	5.38
Moe	-0.37	0.73
ppk17	-0.31	1.07
CG8117	-0.10	-1.29
Ptx1	1.57	0.75
CG13773	-0.74	0.31
dah	-0.95	-0.76
CG13663	-0.67	0.39
sff	0.90	-0.65
CG5022	-0.44	1.29
CecA1	0.80	0.60
CG13423	0.45	0.59
CG15387	-0.56	0.85
CG15201	0.10	-0.33
Mur2B	-1.50	1.04
l(1)G0255	-2.64	1.80
AttD	-1.19	-0.18
Syn2	1.26	0.55
ras	1.80	-1.43
CG5731	-1.13	0.56
Ir48a	0.55	-0.81
CG33679	-1.59	0.59
Cdk5	-0.24	1.49
kek4	-1.35	-0.10
CG9170	0.61	0.14
CG2974	0.22	0.42
t	-0.25	0.88
Dgp-1	-0.93	0.61
Ir94e	-0.51	-0.86
CG3739	-1.23	0.27
CG3803	-1.38	0.84
Prx3	-1.26	0.65
CG34269	-0.06	-0.68
grk	0.67	1.15
achi	1.67	1.76
raw	-1.63	-4.42
Slip1	0.49	0.80
CG9970	-1.14	0.26
CG7927	-0.90	-1.01
Mgat2	0.79	-0.29
Cpr31A	0.35	-0.63
OdsH	-0.90	-0.52
Ns2	1.56	-0.72
CG6048	-0.24	0.59
snk	0.23	-1.21
CG17321	-1.29	0.63
CG1698	-0.55	0.22
Cdk1	2.33	-2.36
CG5639	-1.49	0.29
CG18547	0.61	0.88
CG6675	-0.44	0.15
Or22b	-1.37	1.43
CG12995	-0.16	-0.49
Adam	-1.30	-0.37
CG2025	1.17	1.00
CG5693	1.42	0.69
CG13064	-0.86	-1.10
Tpc2	0.86	-0.85
CG7506	0.39	1.09
mtSSB	0.86	-0.13
CG31751	-2.22	1.35
FRG1	-0.66	0.80
CG31524	-1.73	-1.89
Cyp6a22	-0.11	-0.96
CG42674	-1.86	0.81
CG31357	-0.42	-0.57
Osi23	-0.75	-0.24
Odc2	-1.01	0.77
Ets21C	-0.39	1.03
CG1943	1.31	1.00
CG34404	1.03	2.48
Hand	-0.93	0.92
CG10862	-0.89	0.59
CG6752	-1.03	0.15
CG5704	0.24	0.46
CG32669	2.43	0.91
Zir	-1.64	0.88
inv	-1.12	-0.98
CG13029	-1.38	0.44
MtnD	1.16	1.08
Nak	0.85	-0.78
Nup107	4.29	-0.92
CG14512	-0.99	1.19
HLH4C	-0.89	0.51
CG10472	-0.33	0.22
CG2003	-0.79	0.45
CG6761	0.54	0.86
CG1074	0.77	0.89
CG1620	0.31	1.09
Dd	-1.39	-0.49
CG5561	0.57	-0.99
sicily	-0.76	0.60
Cib2	2.03	0.94
fliI	0.93	-0.71
CHKov1	-1.67	2.13
CG42684	-1.14	0.96
antr	-1.51	-1.19
CG7712	0.61	-0.97
CG15880	-0.97	0.35
CkIalpha	0.29	1.45
CG13843	-1.51	-0.76
CG9269	-0.22	1.01
CG7352	-1.44	0.12
OstDelta	-0.79	-0.77
beat-IIb	-0.74	0.90
Srp54k	-1.17	0.27
CG2736	0.95	-1.74
CG14507	-1.19	-0.47
Rpi	-1.57	1.20
tim	0.39	-0.79
Ef1alpha48D	0.57	-3.57
msl-2	-0.62	0.85
CG18418	1.75	0.72
Ir60b	1.01	1.51
CG1314	-0.60	-0.78
ord	-1.78	1.07
sphinx	0.28	-0.71
CG7945	-0.75	0.73
CG6006	-1.52	1.47
Hsp68	-0.83	0.59
CG10268	-0.73	0.18
Rpt1	-2.49	-1.92
CG6028	-1.25	1.18
colt	-1.01	-0.54
Atac1	-1.74	-0.52
slgA	-0.55	0.35
mRpL16	-1.03	1.09
dpr4	10.78	1.18
rev7	-1.10	-0.07
Vps20	-0.77	-0.64
CG13216	-1.26	0.14
CG30411	-0.94	-0.40
CG31266	-0.86	-0.74
Rpt2	-2.41	-4.51
CG8386	0.34	1.03
Nacalpha	-0.71	-1.21
CG5390	0.66	-0.75
mthl8	1.31	1.05
CCAP	-0.30	-0.16
Idgf4	1.32	-0.68
CG18518	0.98	-1.14
CG14354	0.35	-0.20
Hsepi	0.87	-0.87
Osi20	-0.92	0.53
CG8740	1.86	0.73
CG10591	-1.93	0.60
Or65c	-0.96	-1.16
mRpL15	-0.50	0.31
CG33493	0.46	0.91
CG33170	1.32	0.91
CG5498	-0.40	0.96
CG9624	-2.17	-0.57
CG31223	1.26	-0.55
CG11664	-0.69	-0.67
CG10761	0.37	0.66
CG2199	-1.33	-0.80
CG31644	-1.64	-1.88
CG9350	-0.69	0.76
CG7607	0.58	0.42
Drsl5	-0.21	-0.80
CG4009	0.43	-0.02
GAPsec	-1.32	-0.80
Cyp4e3	0.97	-0.33
CG15020	-0.97	0.86
CG17010	0.25	1.44
Sk2	-1.75	1.19
CG5938	-1.60	2.51
CG7101	1.78	0.89
ppk8	1.39	-0.91
Nup54	-0.20	0.96
Blos2	-1.01	-0.17
Myo31DF	-1.24	0.69
Ars2	-2.23	-1.03
CG13306	-0.15	0.75
Ilp4	1.16	0.50
cactin	0.42	1.22
CG15014	-0.73	1.49
Prosbeta7	-0.54	-2.52
Npl4	0.63	0.80
l(2)37Cd	-1.25	0.60
CG32024	-0.25	0.15
CG13258	-1.64	0.18
CG31777	0.86	-1.19
Fgop2	-0.39	0.08
CG10749	-0.66	1.22
CG14635	-1.28	-0.27
Gr98b	0.92	0.71
CG14661	1.80	-0.45
CG33233	1.21	0.72
CG8138	-0.99	-0.22
CG11149	-1.98	-1.36
Itp-r83A	-0.47	-1.04
CG2662	0.17	-0.89
CG9107	-1.31	0.69
Tsf2	0.47	1.16
CG8366	-1.50	0.98
CG31076	-1.02	-0.25
CG9911	0.60	0.99
CG4407	0.88	1.47
CG14220	-1.71	0.16
CG34302	-0.81	-1.10
CG32698	-1.50	-1.63
insv	0.77	-0.75
CG6091	-0.81	-1.07
CG15870	-0.61	-0.22
CG13062	0.97	0.46
CG31549	1.02	0.57
in	-1.40	-0.62
Rh50	0.61	1.08
CG42232	-0.38	0.48
CG31459	1.16	1.79
Sirt4	-0.90	0.43
CG34402	-0.90	0.65
CG13171	-0.93	0.17
grass	4.00	0.24
Vha100-3	0.97	-0.26
CG9507	-0.99	0.42
CG33056	-1.13	-1.44
CG15435	-0.90	-0.38
CG15764	-0.67	0.30
CG12608	-0.63	-0.68
Prosbeta3	-0.25	-2.28
Gmap	-0.31	-0.91
CG15930	-1.21	0.95
NfI	-1.79	-0.37
CG14718	-0.85	0.66
Vha14-2	-0.21	-1.17
CG5968	-0.33	-0.76
CG15561	0.80	-0.84
CG8498	-1.46	-0.86
CG4398	1.07	0.33
ppk14	0.88	1.76
CG9154	1.20	0.65
CG32302	-0.35	0.37
CG10635	0.82	-0.13
Npc2c	0.09	-1.74
Spred	0.50	0.60
Rpp30	-0.99	0.58
inaF-B	-1.20	-0.24
CG1640	1.51	1.51
CG9962	1.40	1.25
E(spl)m8-HLH	0.63	0.55
CG8129	-0.91	-3.07
CR42254	-0.80	0.67
CG1434	-1.46	0.72
CG34280	-2.11	-1.78
CG32250	-1.48	-1.79
CG30371	-0.82	-1.25
CG32445	1.83	-1.41
CG2120	-1.19	1.17
Ime4	-0.69	0.47
CG3353	2.33	2.31
Rap2l	-1.84	-0.53
CG1077	-1.71	-1.49
Fur2	1.04	0.40
Hsp60D	-1.63	-1.63
CG14118	-0.05	0.37
CG34150	11.31	1.10
CG5715	0.77	0.63
CG9672	-1.67	-0.42
CG15394	1.58	0.63
CG15543	1.36	0.50
Tsp33B	0.31	0.75
Ing3	0.75	-1.47
Lrt	-1.93	2.28
CG9629	-0.37	-0.76
vtd	-1.74	-0.49
CG8539	1.58	-1.00
CG15657	-0.15	-0.26
ppk3	-1.00	-0.81
CG32588	0.28	1.71
CG14835	-0.80	0.21
aay	1.95	1.51
CG14518	-0.92	-1.16
CG9839	-0.52	0.33
KFase	0.40	1.16
CG32750	-0.35	0.55
AttB	0.51	-0.42
Ir56c	0.32	1.21
CG2807	4.85	-3.78
CG7453	-0.46	-0.52
CG1603	-0.59	-0.45
CG4278	0.35	0.41
wal	-0.84	-0.57
CG40178	0.88	1.22
CG6543	0.97	-0.72
RagA-B	-0.90	-0.21
CG16825	-0.90	-0.87
CG4497	0.56	0.23
Cks30A	-0.80	0.74
CG7408	0.57	0.79
CG31148	-0.43	-0.28
MAPk-Ak2	-1.09	0.17
CG33631	-0.33	0.86
dbe	-0.91	0.94
Tsp42Ei	-0.82	0.43
CG30447	-0.57	-0.50
Rpt4	-0.26	-2.29
CG31705	-2.23	-3.45
Dhfr	-0.77	0.25
Nedd4	-1.54	0.58
CG42336	-1.36	-1.39
Obp58b	-0.75	-0.88
E(z)	0.66	-0.51
CG42566	0.36	-0.78
CG13005	1.17	0.85
CG31204	-1.38	0.16
pall	1.36	1.11
Tsp42Ed	-1.21	0.97
CG34297	-1.13	-0.30
nmo	-1.88	-1.32
CG34259	-0.95	0.37
Prosalpha2	-1.08	-3.14
BG642163	-1.82	-0.33
Oatp74D	-1.72	-0.53
CG11581	-0.85	-1.35
r-cup	1.42	-0.38
CG8134	-0.60	-0.96
CG5780	0.63	-0.96
Gasz	-0.91	-0.22
Cpr72Ea	-1.33	-0.42
CG14811	0.52	1.56
CG13759	-0.80	-0.12
d4	1.32	-1.86
CG2915	-0.72	0.33
RN-tre	1.01	-1.35
CG13298	-0.17	0.66
CG4324	-0.85	1.22
CG9522	1.24	-0.10
bou	0.68	1.39
CG33172	0.64	0.70
maf-S	-1.40	0.60
cdi	-1.18	-0.97
Spn42De	-1.09	-0.20
Sh3beta	-0.60	0.82
CG13674	0.63	0.66
CG8840	-0.94	-0.20
CG14330	-0.27	0.89
Vps4	-0.98	-5.28
CG17154	0.27	0.55
rho-4	-1.37	-0.55
CG7368	-1.83	-1.87
CG5001	0.91	0.62
CG17032	-1.82	-0.43
CG4393	-1.76	-1.26
CG9044	0.47	0.90
Rae1	-2.03	-5.06
E(spl)mbeta-HLH	-0.64	0.23
m	0.41	-0.94
wmd	-0.89	-1.04
CG30349	-0.89	-0.62
CG31157	0.77	-1.07
Mec2	-0.53	-1.12
CG40042	0.88	-0.14
Gyc-89Db	-1.44	0.50
CG2006	-1.03	-1.25
CG8920	-0.59	0.54
Eig71Ei	-0.48	0.89
CG7695	0.89	0.28
CG13010	-0.48	0.40
CG4250	-1.03	-0.56
CG4287	-1.22	1.00
botv	0.14	0.91
CG3226	-1.15	-0.54
CG32695	-0.70	0.56
CG10764	-1.98	-0.08
CG2861	0.80	-0.47
CG13891	1.24	0.63
Adf1	-0.74	2.15
Slbp	1.10	0.61
CheB38b	-0.78	0.58
CG15293	-0.44	-0.97
CG31244	-1.96	-1.15
CG6512	-1.28	-1.17
CG17343	-0.79	1.50
CG2938	-1.16	0.83
CG30384	-1.40	-0.66
CG14949	-1.20	0.21
CG11470	-0.85	0.25
CG7458	-1.17	1.26
CR18275	-1.46	0.77
CG33454	0.71	1.65
Dscam3	0.69	1.02
gukh	1.02	-1.17
CG31697	-0.85	-1.64
Aats-cys	-1.53	-0.28
row	-2.40	1.37
CG12702	-1.44	0.10
Toll-7	-1.75	-1.38
frma	-1.73	-0.54
dac	1.33	0.66
knk	0.74	0.84
CG12017	0.11	-1.17
CG9692	1.11	0.72
CG13058	-1.22	-0.40
Irp-1A	0.40	0.87
Trp1	0.42	0.87
CG3259	-0.85	-0.67
Obp85a	-1.23	0.17
Ppt2	0.19	-0.24
Aats-trp	-1.55	-1.31
CG13627	-0.28	-0.50
Nhe2	1.51	-0.84
CG8673	-0.80	-0.52
CG13640	0.68	-0.36
CG4495	-1.09	-0.93
CG9286	-1.18	-0.97
RecQ4	-0.77	-0.47
Tim17a1	-0.44	-0.86
CG17047	-0.59	-1.25
ppk20	-0.69	0.17
Papss	-0.62	0.69
Gbs-70E	-0.82	-0.39
dpr7	-1.12	-1.59
wls	-1.89	1.01
CG34345	-0.99	0.45
CG5188	1.57	-0.24
CG3902	-1.57	0.79
Ir84a	0.89	0.30
CG11306	-0.40	0.59
CG6888	1.54	0.30
Rack1	-1.32	-0.60
nerfin-2	-0.61	1.10
Ugt86Dh	0.34	0.82
CG4858	-1.77	0.46
CG9850	4.11	1.07
CG17855	-1.24	0.36
CG9547	1.32	0.43
slow	-1.41	1.13
RpS17	3.49	-2.95
CG18281	0.68	0.97
CG13386	0.90	1.30
CG8100	-1.96	-0.81
CG6255	-0.99	-1.61
hydra	-1.00	0.62
CG33116	1.49	-1.25
Acp36DE	1.24	-0.22
Tengl2	-0.99	-1.05
CG8331	0.33	0.31
CG16749	-1.35	-0.93
CG17565	-0.32	-1.13
CG4372	-0.70	0.64
Bili	6.83	0.45
CG32762	-0.89	0.80
Hop	-0.24	0.28
CG30495	1.06	0.57
dpr15	0.81	0.46
tin	0.75	-0.47
Spn43Ab	0.30	-0.17
Capa	-1.03	-0.26
Cyp9c1	-0.88	0.76
CG18672	1.70	0.80
Tequila	1.04	-1.31
CG31388	-0.16	0.86
Act42A	0.62	-1.62
CG7214	-1.54	1.21
Osi13	-1.83	1.36
hubl	-0.72	0.47
CG10435	-0.79	-1.26
CG3635	0.56	0.72
Atg8b	-1.53	-0.94
CG31636	-1.19	-0.97
bgm	2.02	-3.32
LSm3	-0.49	1.18
Cfp1	0.42	-0.91
CG4586	0.63	-1.09
PIP82	0.03	-1.28
pdm2	1.53	1.28
CG15136	1.07	1.14
CG31659	1.84	1.01
mrt	-0.64	0.73
Lkr	-0.78	-0.97
CG14153	5.42	-0.39
CG7115	-1.23	-2.55
CG12723	-1.06	1.16
CG33640	0.66	0.29
Sar1	-1.19	0.19
etaTry	-1.20	-0.27
CR42755	-1.71	-1.07
l(3)psg2	-0.85	1.57
Muc55B	-1.42	-1.06
CG18558	1.15	-1.76
CG34273	-1.56	-0.47
CG14572	-1.29	0.99
NC2beta	-0.48	-1.42
JhI-26	-1.74	-0.59
MED6	2.10	1.04
pgc	0.52	0.85
CG13334	-1.33	0.46
SAK	-0.74	-0.42
DNaseII	0.44	0.47
CG17098	0.04	1.27
CG7387	-0.72	0.32
CG31808	-1.44	-1.77
CG11334	-1.67	-2.16
CG13081	0.89	0.36
atk	-1.71	-1.01
CG31832	0.47	2.05
mnb	-0.54	1.35
tos	-1.27	1.20
Pkd2	1.43	-1.69
CR31647	0.78	0.35
CG33124	-0.73	0.70
Burs	-1.27	0.58
CG15185	-1.01	-0.55
Klp59C	0.42	-0.83
Cpsf73	-1.21	-1.21
CG6763	0.87	-0.32
CG14186	-0.62	-0.80
CG6279	-0.85	0.16
CG30355	-1.30	-0.51
CG8675	0.61	0.38
l(2)k14710	-0.53	0.24
Pvr	1.65	3.45
Obp44a	1.12	0.36
Cp7Fa	0.82	0.88
CG7755	-1.59	-0.63
yellow-f2	-1.47	1.54
CG13309	1.73	0.90
CG8519	-0.28	-0.38
PDCD-5	0.25	2.73
CG5762	-0.28	-0.77
CG8708	-0.68	-0.62
CG14353	0.33	0.60
CG12866	-1.48	0.23
B52	-0.75	0.95
vnd	1.53	0.55
ttm50	0.56	-0.56
Obp57a	-2.43	-1.46
CG12123	-0.98	-1.63
R	1.44	-1.12
CG5089	1.41	-0.86
CG31176	1.22	1.04
Idgf5	1.70	0.33
CG33655	1.08	0.96
MFS15	0.93	-0.10
CG15172	-1.16	-1.05
CG31664	2.41	1.26
RnpS1	0.91	1.56
Diap1	11.37	1.89
CG7029	0.64	3.34
CG10237	-0.50	-0.54
CG14810	-0.77	1.06
Dhc64C	0.94	1.16
Tsp42Ep	0.45	-1.21
thoc6	1.29	-0.39
CG42521	-1.48	0.32
CG13970	0.90	-0.17
Ir47a	0.88	-1.59
CG12860	-0.18	0.77
Gr5a	-1.09	-0.30
CG34163	-0.42	-1.69
CG8368	1.80	0.61
CG42749	-0.85	0.85
CG2014	-1.30	-0.51
CG9263	-0.74	-0.14
GstO1	-0.57	0.63
ssh	-0.80	0.21
Lip4	0.30	-0.86
Dot	-0.68	-0.39
CG14500	-0.66	0.68
smg	0.96	-0.37
CG42365	0.80	-0.36
CG4615	2.57	-0.68
CG13676	1.13	0.85
gatA	0.67	1.77
CG31826	-1.12	0.87
swa	-1.29	1.02
CG14054	2.25	1.39
CG30395	-1.08	0.44
Edg91	0.94	0.81
CG6380	0.94	-1.29
sv	0.93	0.26
CG2818	0.35	0.64
MFS10	1.15	0.75
CG17780	1.12	0.31
Dic3	-1.41	-0.58
Ir52c	-1.86	-1.50
SNCF	1.34	0.96
pho	0.95	0.60
Cec2	0.79	-0.02
CG5793	0.91	1.32
Hr39	1.15	-1.43
CG2701	-0.26	0.82
be	1.36	0.86
MRG15	0.36	-1.38
PTP-ER	1.23	-0.88
CG42313	1.88	1.40
Gr59f	-0.52	-1.06
CG11327	-1.68	1.23
SelD	-0.27	-0.71
Nep3	0.29	0.50
Osi11	-1.68	1.46
mRpL39	-1.08	0.93
CG3326	-0.86	0.73
sala	-0.69	1.56
CG9323	-2.29	-1.75
Ssl1	-0.30	0.65
HDAC6	-0.95	0.22
CG1635	-0.52	0.37
EndoGI	-0.32	0.42
CG11200	2.41	1.36
Ets65A	-1.48	0.78
CG13890	1.94	0.48
CG31674	-0.64	-0.48
CG7946	0.32	0.94
CG13991	-0.32	-1.33
Nf1	0.40	-0.66
RhoGAP19D	1.98	-1.87
sns	3.54	1.08
Cyp9f2	-0.97	1.25
CG13090	-0.66	0.12
Acyp2	-0.27	-0.45
beag	-1.39	0.52
TwdlP	-1.28	-0.30
CG5367	-0.60	0.80
tok	-0.39	0.53
CG18809	-1.93	-1.17
CG32425	0.77	0.68
CG12607	-1.23	0.65
CG33337	1.02	0.46
CG42397	-0.54	0.35
CG11693	1.13	0.71
Gmer	-0.29	-1.93
l(1)G0193	-1.46	-0.83
CG7565	-0.44	0.99
CG1129	-1.75	1.28
Rpn8	0.27	-2.66
CG3301	-0.55	0.73
CG4045	-0.80	1.16
mRpL24	-1.73	0.49
CG17821	0.47	-0.84
hng3	-0.80	-0.26
Rac2	-1.00	-0.77
CG14352	-0.55	1.28
CG32182	-0.61	0.15
Flo1	-1.12	0.44
CG10804	0.64	-0.56
CG12692	-0.52	0.50
CG13133	-1.79	-0.09
CG10600	-1.17	-0.50
Roc1a	-1.21	-3.56
CG5961	-0.31	-0.24
VhaM9.7-c	-0.95	1.38
